4 accumulation steps, 24 fragments per step, 1024 fragment legnth
e512h3d50w1024 b96f1024 drop1ch1tail5 0x0, size 149.835M
iter 0k, 2.46479 sec, train err -7.6937, test err -7.73126
iter 1k, 905.516 sec, train err -4.66285, test err -4.68625
iter 2k, 905.261 sec, train err -3.954, test err -3.98686
iter 3k, 905.321 sec, train err -3.69636, test err -3.72746
iter 4k, 905.585 sec, train err -3.56745, test err -3.59441
iter 5k, 899.695 sec, train err -3.48442, test err -3.51123
iter 6k, 905.825 sec, train err -3.42476, test err -3.45114
iter 7k, 904.532 sec, train err -3.38129, test err -3.40808
iter 8k, 904.709 sec, train err -3.3432, test err -3.37191
iter 9k, 904.033 sec, train err -3.3192, test err -3.34239
iter 10k, 898.315 sec, train err -3.29595, test err -3.31901
iter 11k, 899.153 sec, train err -3.27249, test err -3.29746
iter 12k, 898.666 sec, train err -3.25366, test err -3.27648
iter 13k, 898.182 sec, train err -3.23818, test err -3.26239
iter 14k, 898.188 sec, train err -3.22312, test err -3.24636
iter 15k, 898.155 sec, train err -3.21149, test err -3.23334
iter 16k, 898.099 sec, train err -3.19907, test err -3.22064
iter 17k, 898.058 sec, train err -3.18621, test err -3.20872
iter 18k, 898.084 sec, train err -3.17661, test err -3.19873
iter 19k, 897.695 sec, train err -3.16638, test err -3.18897
iter 20k, 898.137 sec, train err -3.15823, test err -3.18165
iter 21k, 897.811 sec, train err -3.14832, test err -3.17214
iter 22k, 898.07 sec, train err -3.14151, test err -3.16643
iter 23k, 898.197 sec, train err -3.13612, test err -3.1591
iter 24k, 897.822 sec, train err -3.13153, test err -3.15365
iter 25k, 899.984 sec, train err -3.12471, test err -3.1486
iter 26k, 906.14 sec, train err -3.11753, test err -3.14122
iter 27k, 906.252 sec, train err -3.11385, test err -3.13708
iter 28k, 905.624 sec, train err -3.1072, test err -3.13164
iter 29k, 904.53 sec, train err -3.10089, test err -3.12568
iter 30k, 898.523 sec, train err -3.09647, test err -3.12079
iter 31k, 898.211 sec, train err -3.09092, test err -3.11693
iter 32k, 898.252 sec, train err -3.08707, test err -3.11207
iter 33k, 898.215 sec, train err -3.08336, test err -3.10797
iter 34k, 897.814 sec, train err -3.07801, test err -3.10361
iter 35k, 898.137 sec, train err -3.07535, test err -3.09955
iter 36k, 897.928 sec, train err -3.07075, test err -3.09651
